timestamp,open,high,low,close,volume
2026-05-14 04:00:00,417.92,418.37,416.0216,417.43,9750
2026-05-14 04:01:00,416.84,418.2,416.23,417.17,10495
2026-05-14 04:03:00,416.78,416.854,416.78,416.854,208
2026-05-14 04:04:00,416.37,416.67,416.37,416.67,84
2026-05-14 04:05:00,416.61,416.61,416.61,416.61,490
2026-05-14 04:06:00,416.25,416.58,416.25,416.51,324
2026-05-14 04:08:00,416.75,416.75,416.75,416.75,73
2026-05-14 04:09:00,417.32,417.32,417.32,417.32,45
2026-05-14 04:13:00,417.28,417.29,417.28,417.29,351
2026-05-14 04:14:00,417.71,417.71,417.71,417.71,45
2026-05-14 04:16:00,417.78,417.8,417.66,417.8,396
2026-05-14 04:17:00,417.94,418.09,417.89,418.08,730
2026-05-14 04:19:00,417.64,417.64,417.64,417.64,48
2026-05-14 04:20:00,417.63,417.63,417.63,417.63,50
2026-05-14 04:25:00,417.95,417.96,417.95,417.96,98
2026-05-14 04:27:00,417.61,417.61,417.6,417.6,379
2026-05-14 04:30:00,417.95,418,417.95,418,797
2026-05-14 04:33:00,417.2303,418,417.2303,418,180
2026-05-14 04:36:00,417.6,417.6,417.6,417.6,50
2026-05-14 04:38:00,417.2,417.2,417.2,417.2,100
2026-05-14 04:39:00,416.85,417.06,416.79,417.06,390
2026-05-14 04:44:00,416.27,416.27,416.27,416.27,180
2026-05-14 04:45:00,416.71,416.71,416.71,416.71,56
2026-05-14 04:46:00,416.71,416.71,416.28,416.35,245
2026-05-14 04:48:00,416.79,417.08,416.79,417.08,98
2026-05-14 04:50:00,417.29,417.29,417.29,417.29,60
2026-05-14 04:51:00,416.7,416.7,416.7,416.7,40
2026-05-14 04:53:00,417.1,417.86,417.1,417.75,164
2026-05-14 04:55:00,417.94,417.94,417.94,417.94,69
2026-05-14 04:56:00,417.71,417.71,417.71,417.71,55
2026-05-14 05:00:00,417.77,417.77,417.74,417.74,107
2026-05-14 05:01:00,417.77,417.77,417.77,417.77,500
2026-05-14 05:03:00,417.8,417.8,417.8,417.8,250
2026-05-14 05:07:00,417.42,417.5,417.42,417.5,220
2026-05-14 05:08:00,417.49,417.49,417.49,417.49,80
2026-05-14 05:10:00,417.58,417.58,417.12,417.32,346
2026-05-14 05:11:00,417.27,417.27,417.27,417.27,91
2026-05-14 05:12:00,417.27,417.27,417,417,1467
2026-05-14 05:18:00,416.79,416.79,416.79,416.79,40
2026-05-14 05:19:00,417,417.01,417,417.01,102
2026-05-14 05:22:00,417.08,417.36,416,416.56,1454
2026-05-14 05:25:00,416.81,416.81,416.81,416.81,65
2026-05-14 05:26:00,416.21,416.21,416,416,694
2026-05-14 05:29:00,415.4672,415.4672,415.4672,415.4672,100
2026-05-14 05:31:00,416.5,416.5,416.49,416.49,130
2026-05-14 05:35:00,416.49,416.49,416.49,416.49,77
2026-05-14 05:36:00,416,416,416,416,50
2026-05-14 05:37:00,415.8,415.8,415.8,415.8,50
2026-05-14 05:38:00,415.37,415.37,415.37,415.37,71
2026-05-14 05:39:00,415.38,415.38,415.38,415.38,80
2026-05-14 05:40:00,415.17,415.17,415.17,415.17,40
2026-05-14 05:43:00,415.48,415.48,415.48,415.48,60
2026-05-14 05:44:00,415.92,415.92,415.92,415.92,50
2026-05-14 05:46:00,416.392,416.392,416.392,416.392,50
2026-05-14 05:47:00,416.39,416.39,416.39,416.39,100
2026-05-14 05:48:00,416.14,416.14,416.14,416.14,40
2026-05-14 05:49:00,416.14,416.4,416.14,416.4,147
2026-05-14 05:50:00,416.35,416.35,416.35,416.35,68
2026-05-14 05:52:00,416.29,416.29,416.29,416.29,40
2026-05-14 05:53:00,416.08,416.12,416.08,416.12,273
2026-05-14 05:55:00,416.4,416.4,416.32,416.38,582
2026-05-14 05:56:00,416.38,416.38,416.32,416.32,327
2026-05-14 05:57:00,416.09,416.09,416.09,416.09,300
2026-05-14 06:04:00,416.49,416.49,416.49,416.49,45
2026-05-14 06:05:00,416.7,416.7,416.56,416.56,131
2026-05-14 06:10:00,416.02,416.11,415.91,416.1,1098
2026-05-14 06:14:00,416.4,416.4,416.4,416.4,50
2026-05-14 06:18:00,416.51,416.51,416.51,416.51,50
2026-05-14 06:19:00,416.54,416.54,416.54,416.54,54
2026-05-14 06:21:00,416.45,416.45,416,416,311
2026-05-14 06:22:00,416.21,416.21,416.21,416.21,80
2026-05-14 06:23:00,416.46,416.99,416.21,416.94,1294
2026-05-14 06:25:00,416.79,416.86,416.79,416.86,420
2026-05-14 06:26:00,417.02,417.02,417.02,417.02,50
2026-05-14 06:27:00,417.02,417.02,417.02,417.02,97
2026-05-14 06:28:00,416.87,416.87,416.8,416.8,256
2026-05-14 06:29:00,416.8,416.8,416.8,416.8,48
2026-05-14 06:31:00,416.23,416.23,415.63,415.63,739
2026-05-14 06:32:00,416.02,416.02,416.02,416.02,69
2026-05-14 06:39:00,416.16,416.16,416,416,900
2026-05-14 06:40:00,415.8,415.8,415.56,415.56,134
2026-05-14 06:45:00,415.2649,415.2649,415.2649,415.2649,100
2026-05-14 06:46:00,415.82,415.82,415.82,415.82,48
2026-05-14 06:47:00,415.6,415.6,415.6,415.6,192
2026-05-14 06:48:00,415.6,415.6,415.6,415.6,42
2026-05-14 06:53:00,416.28,416.3,416.28,416.3,129
2026-05-14 06:54:00,416.44,416.44,416.44,416.44,49
2026-05-14 06:55:00,416.05,416.05,416.05,416.05,500
2026-05-14 06:56:00,416.21,416.21,416.21,416.21,47
2026-05-14 07:00:00,416.74,416.7719,416.2,416.7719,1510
2026-05-14 07:02:00,416.61,416.61,416.61,416.61,40
2026-05-14 07:04:00,416.6,416.8,416.5,416.7713,569
2026-05-14 07:05:00,417,417,416.8,416.8,180
2026-05-14 07:06:00,416.7,416.7997,416.66,416.66,1476
2026-05-14 07:10:00,417.25,417.25,417.13,417.13,1300
2026-05-14 07:12:00,417.19,417.5655,417.19,417.5655,262
2026-05-14 07:13:00,417.12,417.18,417.12,417.18,190
2026-05-14 07:14:00,417.19,417.475,417.19,417.32,653
2026-05-14 07:15:00,417.35,417.35,417.35,417.35,40
2026-05-14 07:16:00,417.08,417.19,417.08,417.19,116
2026-05-14 07:17:00,417.05,417.05,417.05,417.05,120
2026-05-14 07:18:00,417.13,417.14,417.13,417.14,380
2026-05-14 07:19:00,417.1,417.12,417.06,417.06,200
2026-05-14 07:20:00,417,417,416.61,416.61,1989
2026-05-14 07:23:00,416.57,416.65,416.33,416.33,1371
2026-05-14 07:24:00,416.32,416.32,416,416,2369
2026-05-14 07:25:00,416.15,416.15,415.93,416.04,723
2026-05-14 07:26:00,415.92,415.92,415.81,415.81,96
2026-05-14 07:27:00,416.1174,416.1174,415.76,415.76,1097
2026-05-14 07:28:00,415.78,415.78,415.29,415.52,888
2026-05-14 07:30:00,415.51,415.51,415.51,415.51,73
2026-05-14 07:31:00,416.22,416.22,416.22,416.22,48
2026-05-14 07:32:00,416.01,416.22,416.01,416.22,282
2026-05-14 07:34:00,415.9,416.161,415.9,416.161,222
2026-05-14 07:35:00,415.9201,415.9201,415.9201,415.9201,1000
2026-05-14 07:36:00,416.114,416.3,416.114,416.3,716
2026-05-14 07:37:00,416.3,416.65,415.9773,416.35,1367
2026-05-14 07:40:00,416.26,416.26,415.9,415.9,103
2026-05-14 07:41:00,416.01,416.01,416.01,416.01,40
2026-05-14 07:45:00,416.1,416.1,416.1,416.1,80
2026-05-14 07:47:00,416,416,416,416,84
2026-05-14 07:48:00,416.43,416.43,416.43,416.43,125
2026-05-14 07:51:00,416.21,416.21,416.21,416.21,98
2026-05-14 07:52:00,416.2,416.2,416.2,416.2,50
2026-05-14 07:53:00,416.11,416.27,415.9757,415.9757,212
2026-05-14 07:54:00,416.4,416.4,416.4,416.4,300
2026-05-14 07:57:00,416.29,416.31,416.1,416.1,139
2026-05-14 07:58:00,416.01,416.01,416.01,416.01,85
2026-05-14 07:59:00,416.01,416.01,415.95,415.95,279
2026-05-14 08:00:00,415.849,415.849,415.8345,415.8345,217
2026-05-14 08:02:00,415.9,416.2,415.9,416.2,175
2026-05-14 08:03:00,416.01,416.01,416.01,416.01,40
2026-05-14 08:06:00,416.25,416.25,416.25,416.25,150
2026-05-14 08:07:00,415.9,416.15,415.9,416.15,1595
2026-05-14 08:08:00,416.35,416.4,415.749,416.3214,580
2026-05-14 08:09:00,416.4,416.5763,416.4,416.5621,434
2026-05-14 08:10:00,416.64,416.64,416.64,416.64,90
2026-05-14 08:12:00,416.5,416.61,416.43,416.48,1085
2026-05-14 08:13:00,416.5,416.5,416.26,416.26,205
2026-05-14 08:14:00,416.4,416.5,416.4,416.416,661
2026-05-14 08:15:00,416.416,416.5,416.416,416.5,275
2026-05-14 08:16:00,416.59,416.59,416.59,416.59,85
2026-05-14 08:17:00,416.63,417.2,416.62,417.05,1820
2026-05-14 08:18:00,417,417.01,416.99,416.99,687
2026-05-14 08:20:00,416.815,416.815,416.815,416.815,80
2026-05-14 08:22:00,416.64,416.64,416.64,416.64,40
2026-05-14 08:23:00,416.75,416.81,416.75,416.81,201
2026-05-14 08:24:00,416.75,416.78,416.64,416.74,593
2026-05-14 08:25:00,416.75,416.82,416.7,416.82,1241
2026-05-14 08:26:00,416.51,416.51,416.4453,416.4453,291
2026-05-14 08:27:00,416.5,416.5,416.2,416.2,342
2026-05-14 08:28:00,416.8873,416.8873,416.8873,416.8873,100
2026-05-14 08:29:00,416.76,416.76,416.76,416.76,80
2026-05-14 08:30:00,416.2701,416.99,416.2701,416.99,100
2026-05-14 08:31:00,416.21,416.8232,416.21,416.8232,91
2026-05-14 08:32:00,416.2,416.2,416.06,416.1,705
2026-05-14 08:33:00,416.01,416.01,416,416,193
2026-05-14 08:36:00,416.48,416.48,416.1322,416.1322,150
2026-05-14 08:37:00,416,416.01,415.8,415.89,837
2026-05-14 08:39:00,416.2,416.2,416.2,416.2,300
2026-05-14 08:41:00,416.23,416.3086,415.98,415.98,1128
2026-05-14 08:42:00,415.88,415.88,415.88,415.88,120
2026-05-14 08:43:00,415.88,416.17,415.62,416.11,1275
2026-05-14 08:44:00,415.94,416.18,415.94,415.95,460
2026-05-14 08:45:00,415.67,415.85,415.67,415.85,745
2026-05-14 08:46:00,415.96,416,415.96,416,187
2026-05-14 08:47:00,415.85,415.85,415.85,415.85,72
2026-05-14 08:48:00,416.174,416.174,416,416,523
2026-05-14 08:49:00,415.9,415.9,415.85,415.85,80
2026-05-14 08:50:00,415.85,416.45,415.85,416.44,1655
2026-05-14 08:51:00,416.07,416.07,416.07,416.07,40
2026-05-14 08:52:00,416.1999,416.1999,415.8942,415.8942,372
2026-05-14 08:53:00,415.85,416.01,415.85,416.01,154
2026-05-14 08:54:00,415.85,415.9,415.55,415.55,1106
2026-05-14 08:55:00,415.42,415.42,415.33,415.33,142
2026-05-14 08:56:00,415.43,415.81,415.4,415.81,2072
2026-05-14 08:58:00,415.53,415.53,415.53,415.53,44
2026-05-14 08:59:00,415.675,415.675,415.3,415.3,1110
