,open,high,low,close,volume,returns,log_returns,price_range,hl_pct,mid_price,volume_change,log_volume,dollar_volume,sma_5,volatility_5,volume_sma_5,high_5,low_5,sma_15,volatility_15,volume_sma_15,high_15,low_15,sma_30,volatility_30,volume_sma_30,high_30,low_30,pos_5,pos_15,pos_30
2026-05-14 09:28:00,-0.2671202003338911,-0.28035043804756027,-0.28215767634855027,-0.2616861435726199,3458.0,0.8283397977593697,0.8284848104099997,0.1901254708583988,0.2068323773952485,-0.28428324410601286,0.30594881654083506,-1.0705655731645156,-0.9054460392011963,-0.7000689660375375,0.9267708042726353,-0.34466595812791323,-0.6776373061886309,-0.8161190678884295,-0.8642590715763718,0.09279006778313326,-0.5957852327158045,-0.7500913445723575,-0.867372229521625,-0.8848217518818682,0.22909719105189813,-0.8860591333782515,-0.8214741788484382,-0.8190725933339955,1.5042504342392709,1.5451571329494451,1.570877025718432
2026-05-14 09:29:00,-0.25960767946577495,-0.2828535669586969,-0.2556016597510405,-0.2792153589315497,2067.0,-0.4906753553541166,-0.49027108211512405,-0.6400344552845976,-0.6316763629195515,-0.27222924217736927,-0.4253753511236266,-1.4810627580693103,-0.9762514123414057,-0.6409365508579831,0.9891694389572891,-0.3399347671434638,-0.6776373061886309,-0.6977479642700734,-0.8385954986022017,0.1384238348611171,-0.5932586891106869,-0.7500913445723575,-0.8257847696453442,-0.8783945789177118,0.2277486438271276,-0.8849310903745216,-0.8214741788484382,-0.8190725933339955,1.032978265187438,1.3200768627639445,1.3781572441920913
2026-05-14 09:30:00,-0.2796410684474117,-0.10888610763454362,-0.34273858921162226,-0.11039232053422278,325554.0,3.183896525950792,3.179101377307624,4.435800521704424,4.419325369209677,-0.22920892494929204,11.148657349945696,2.556056816933056,3.990533074987122,-0.5630921889830983,1.805447383952229,0.4584438135932856,-0.4043467947525869,-0.6711477162659495,-0.7949361275059204,0.8106933317244747,-0.1293199808989518,-0.477060732350244,-0.8138451440679606,-0.8610027394002594,0.6115387783092338,-0.5050446332615597,-0.549146067156585,-0.8190725933339955,1.3033960088311871,1.4114703244080744,1.4521807222966305
2026-05-14 09:31:00,-0.11060934891485963,0.11514392991238998,-0.10705394190871528,0.13313856427379173,91277.0,3.183896525950792,3.179101377307624,4.435800521704424,4.419325369209677,0.00044059455325656376,-0.6026064425990577,1.5412831792100612,3.6140882934805116,-0.43318999277173764,3.37699745352571,0.6788599057119131,-0.04727379075950829,-0.6711477162659495,-0.7276922011067098,1.7708869023509426,0.00021385656229535343,-0.12032730470237388,-0.8138451440679606,-0.83221624640585,1.2563860037801926,-0.3983320008543715,-0.19333050516504038,-0.8190725933339955,1.5526714039926675,1.5779038565224586,1.6033263122926327
2026-05-14 09:32:00,0.13851419031719553,0.24030037546933602,0.1609958506224063,0.22412353923205328,77557.0,2.487684818353613,2.484946128580556,2.3248224237976864,2.311886111490253,0.19704552256177083,-0.2846805670129873,1.4112994374794297,2.9186245757992024,-0.2685781342989028,2.842046751826203,0.8662863334975492,0.15220833437628964,-0.6711477162659495,-0.6510591626437893,1.777183473551729,0.10829060897082536,0.0789651129780003,-0.8138451440679606,-0.7998540726778717,1.3113310198232253,-0.3079600791689264,0.005449138405654758,-0.8190725933339955,1.3878082070819828,1.4391251231050077,1.4700216431492723
2026-05-14 09:33:00,0.23371452420700964,0.567375886524823,0.26224066390041206,0.557178631051753,150833.0,3.183896525950792,3.179101377307624,4.435800521704424,4.419325369209677,0.410692315365943,0.3268712002711758,1.9421024533735671,3.990533074987122,-0.007276786140579221,3.9967902676629663,1.2309616846132565,0.6735216213978437,-0.6711477162659495,-0.5371379362706611,2.8646854823239116,0.3204261680321169,0.5997826311827136,-0.8070033361528323,-0.7489345685604132,2.16493895576353,-0.13098345151373209,0.5249266069370735,-0.8190725933339955,1.477440455601118,1.5071709787389393,1.533862147571171
2026-05-14 09:34:00,0.5600918196994987,0.7759699624530664,0.5377593360995814,0.797579298831385,135218.0,3.183896525950792,3.179101377307624,4.435800521704424,4.419325369209677,0.6526036644165896,-0.25855320700945683,1.854891972422819,3.990533074987122,0.33633049125415043,2.2269153780028943,1.560440142129168,1.0059918299575068,-0.6711477162659495,-0.3999674800254734,3.163783961110583,0.5121982418968568,0.9319366606500039,-0.7922464955515696,-0.6832144619128084,2.4467505954499313,0.028201450855882694,0.8562260128882321,-0.8190725933339955,1.5855031277474263,1.6030511333178736,1.6269544911758358
2026-05-14 09:35:00,0.79965776293823,0.8862077596996225,0.7668049792531073,0.9060934891485811,174165.0,2.91284232212288,2.9089072167252703,3.3712983078387055,3.2642442823491487,0.8222408805240607,-0.039893760107521235,2.0568801887532158,3.990533074987122,0.6606930974924853,2.6872956671967247,1.185832259312844,1.1816956857771146,-0.29342419460736496,-0.251351249074047,3.0676992996529853,0.7595428685567794,1.1074734221428744,-0.7922464955515696,-0.613003933928772,2.476480653546319,0.23319645071448414,1.0313111229452971,-0.8190725933339955,1.5789365917910627,1.5996033539055534,1.6235658164968052
2026-05-14 09:36:00,0.9048330550918183,0.9887359198998709,0.8995850622406609,0.8777128547579274,153664.0,-0.7658100244395539,-0.7655791607989604,2.4908544090262854,2.4064297938521984,0.9398214345093638,-0.26647470434631937,1.9569415608423169,3.990533074987122,0.8982882071328776,4.157753292191136,1.3402071609586836,1.3451114426883573,0.13616981065926226,-0.11100011934213289,3.2270049788619364,0.9764363711904623,1.270733770706634,-0.7452929118202898,-0.5379599003049995,2.310218988368028,0.4142774103853397,1.1941514069584078,-0.8190725933339955,1.0956711550810196,1.3113882364236522,1.3475408098074457
2026-05-14 09:37:00,0.8756176961602639,1.042136003337505,0.8979253112033181,1.0388146911519178,127545.0,3.183896525950792,3.179101377307624,4.056298841181862,3.9142959044092795,0.965592059322324,-0.29566114498796003,1.8082730280699397,3.990533074987122,1.158257744138502,4.014479963282267,1.463901080901496,1.4302238160796368,0.29843132348442314,0.046200442638982056,3.1806163337092386,1.1574806154361814,1.355765202250266,-0.7452929118202898,-0.45689604975000847,2.40359148512645,0.5637201231772867,1.2789640548819101,-0.8190725933339955,1.484541110547473,1.5510438930533317,1.5771035239794227
